Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,15-11-2023,,,,,,,,
Gegevens beschikbaar:,10-06-2013,tot:,18-12-2020,,,,,,,,
Datum: ,15-11-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39D2737,001,,157642,433072,514,10-06-2013,10-06-2013,18-12-2020,509,-6,-334,-434


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39D2737,001,12-11-2013,86,92,423,,,,,,
B39D2737,001,13-11-2013,84,90,425,,,,,,
B39D2737,001,14-11-2013,83,89,426,,,,,,
B39D2737,001,15-11-2013,83,89,426,,,,,,
B39D2737,001,16-11-2013,85,91,424,,,,,,
B39D2737,001,17-11-2013,88,94,421,,,,,,
B39D2737,001,18-11-2013,91,97,418,,,,,,
B39D2737,001,19-11-2013,98,104,411,,,,,,
B39D2737,001,20-11-2013,102,108,407,,,,,,
B39D2737,001,21-11-2013,109,115,400,,,,,,
B39D2737,001,22-11-2013,114,120,395,,,,,,
B39D2737,001,23-11-2013,118,124,391,,,,,,
B39D2737,001,24-11-2013,118,124,391,,,,,,
B39D2737,001,25-11-2013,119,125,390,,,,,,
B39D2737,001,26-11-2013,120,126,389,,,,,,
B39D2737,001,27-11-2013,121,127,388,,,,,,
B39D2737,001,28-11-2013,123,129,386,,,,,,
B39D2737,001,29-11-2013,123,129,386,,,,,,
B39D2737,001,30-11-2013,128,134,381,,,,,,
B39D2737,001,01-12-2013,131,137,378,,,,,,
B39D2737,001,02-12-2013,133,139,376,,,,,,
B39D2737,001,03-12-2013,135,141,374,,,,,,
B39D2737,001,04-12-2013,138,144,371,,,,,,
