Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,15-11-2023,,,,,,,,
Gegevens beschikbaar:,28-05-1986,tot:,31-12-2019,,,,,,,,
Datum: ,15-11-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39D0221,001,39DP0221,156292,432916,449,25-03-1986,25-03-1986,01-03-1998,511,62,-164,-356
B39D0221,001,39DP0221,156292,432916,449,25-03-1986,01-03-1998,13-04-2015,516,67,-164,-356
B39D0221,001,39DP0221,156292,432916,449,25-03-1986,13-04-2015,31-12-2019,464,15,-164,-356


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39D0221,001,14-07-1997,203,141,308,,,,,,
B39D0221,001,28-07-1997,188,126,323,,,,,,
B39D0221,001,14-08-1997,205,143,306,,,,,,
B39D0221,001,27-08-1997,208,146,303,,,,,,
B39D0221,001,16-09-1997,217,155,294,,,,,,
B39D0221,001,29-09-1997,226,164,285,,,,,,
B39D0221,001,14-10-1997,230,168,281,,,,,,
B39D0221,001,28-10-1997,229,167,282,,,,,,
B39D0221,001,14-11-1997,240,178,271,,,,,,
B39D0221,001,28-11-1997,243,181,268,,,,,,
B39D0221,001,15-12-1997,230,168,281,,,,,,
B39D0221,001,29-12-1997,190,128,321,,,,,,
B39D0221,001,13-01-1998,180,118,331,,,,,,
B39D0221,001,27-01-1998,187,125,324,,,,,,
B39D0221,001,12-02-1998,220,158,291,,,,,,
B39D0221,001,26-02-1998,235,173,276,,,,,,
B39D0221,001,16-03-1998,180,113,336,,,,,,
B39D0221,001,30-03-1998,198,131,318,,,,,,
B39D0221,001,28-04-1998,190,123,326,,,,,,
B39D0221,001,15-05-1998,205,138,311,,,,,,
B39D0221,001,27-05-1998,218,151,298,,,,,,
B39D0221,001,15-06-1998,190,123,326,,,,,,
B39D0221,001,26-06-1998,207,140,309,,,,,,
B39D0221,001,15-07-1998,209,142,307,,,,,,
B39D0221,001,28-07-1998,218,151,298,,,,,,
B39D0221,001,14-08-1998,225,158,291,,,,,,
B39D0221,001,31-08-1998,230,163,286,,,,,,
B39D0221,001,17-11-1998,140,73,376,,,,,,
B39D0221,001,15-12-1998,194,127,322,,,,,,
B39D0221,001,04-01-1999,180,113,336,,,,,,
B39D0221,001,28-01-1999,180,113,336,,,,,,
B39D0221,001,15-02-1999,177,110,339,,,,,,
B39D0221,001,01-03-1999,137,70,379,,,,,,
B39D0221,001,15-03-1999,143,76,373,,,,,,
B39D0221,001,29-03-1999,165,98,351,,,,,,
B39D0221,001,14-04-1999,167,100,349,,,,,,
B39D0221,001,27-04-1999,169,102,347,,,,,,
B39D0221,001,17-05-1999,170,103,346,,,,,,
B39D0221,001,28-05-1999,163,96,353,,,,,,
B39D0221,001,14-06-1999,168,101,348,,,,,,
B39D0221,001,28-06-1999,178,111,338,,,,,,
B39D0221,001,15-07-1999,185,118,331,,,,,,
B39D0221,001,28-07-1999,195,128,321,,,,,,
B39D0221,001,14-08-1999,210,143,306,,,,,,
B39D0221,001,30-08-1999,210,143,306,,,,,,
B39D0221,001,13-09-1999,218,151,298,,,,,,
B39D0221,001,27-09-1999,230,163,286,,,,,,
B39D0221,001,14-10-1999,214,147,302,,,,,,
B39D0221,001,28-10-1999,222,155,294,,,,,,
B39D0221,001,14-11-1999,223,156,293,,,,,,
B39D0221,001,28-11-1999,219,152,297,,,,,,
B39D0221,001,14-12-1999,182,115,334,,,,,,
B39D0221,001,28-12-1999,152,85,364,,,,,,
B39D0221,001,14-01-2000,169,102,347,,,,,,
B39D0221,001,28-01-2000,197,130,319,,,,,,
B39D0221,001,14-02-2000,168,101,348,,,,,,
B39D0221,001,28-02-2000,156,89,360,,,,,,
B39D0221,001,14-03-2000,155,88,361,,,,,,
B39D0221,001,28-03-2000,179,112,337,,,,,,
B39D0221,001,14-04-2000,184,117,332,,,,,,
B39D0221,001,28-04-2000,190,123,326,,,,,,
B39D0221,001,14-05-2000,202,135,314,,,,,,
B39D0221,001,28-05-2000,190,123,326,,,,,,
B39D0221,001,14-06-2000,189,122,327,,,,,,
B39D0221,001,28-06-2000,201,134,315,,,,,,
B39D0221,001,14-07-2000,193,126,323,,,,,,
B39D0221,001,28-07-2000,191,124,325,,,,,,
B39D0221,001,14-08-2000,192,125,324,,,,,,
B39D0221,001,28-08-2000,202,135,314,,,,,,
B39D0221,001,13-09-2000,207,140,309,,,,,,
B39D0221,001,29-09-2000,207,140,309,,,,,,
B39D0221,001,16-10-2000,196,129,320,,,,,,
B39D0221,001,30-10-2000,197,130,319,,,,,,
B39D0221,001,13-11-2000,194,127,322,,,,,,
B39D0221,001,29-11-2000,179,112,337,,,,,,
B39D0221,001,14-12-2000,182,115,334,,,,,,
B39D0221,001,28-12-2000,192,125,324,,,,,,
B39D0221,001,12-01-2001,161,94,355,,,,,,
B39D0221,001,26-01-2001,177,110,339,,,,,,
B39D0221,001,14-02-2001,153,86,363,,,,,,
B39D0221,001,28-02-2001,185,118,331,,,,,,
B39D0221,001,15-03-2001,168,101,348,,,,,,
B39D0221,001,14-05-2001,171,104,345,,,,,,
B39D0221,001,28-05-2001,182,115,334,,,,,,
B39D0221,001,14-06-2001,191,124,325,,,,,,
B39D0221,001,28-06-2001,186,119,330,,,,,,
B39D0221,001,16-07-2001,197,130,319,,,,,,
B39D0221,001,30-07-2001,189,122,327,,,,,,
B39D0221,001,14-08-2001,201,134,315,,,,,,
B39D0221,001,28-08-2001,211,144,305,,,,,,
B39D0221,001,14-09-2001,201,134,315,,,,,,
B39D0221,001,28-09-2001,177,110,339,,,,,,
B39D0221,001,15-10-2001,187,120,329,,,,,,
B39D0221,001,15-11-2001,196,129,320,,,,,,
B39D0221,001,28-11-2001,200,133,316,,,,,,
B39D0221,001,13-12-2001,176,109,340,,,,,,
B39D0221,001,27-12-2001,182,115,334,,,,,,
B39D0221,001,14-01-2002,191,124,325,,,,,,
B39D0221,001,28-01-2002,156,89,360,,,,,,
B39D0221,001,15-02-2002,156,89,360,,,,,,
