Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2023/11/05 19:11:14
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
HBpb003-1,001,HBpb003-1,169967.06,433090.67,730,,792,471,394,294,2021/09/23,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
HBpb003-1,001,2021/10/01 16:58:00,476,
HBpb003-1,001,2021/10/01 17:58:00,476,
HBpb003-1,001,2021/10/01 18:58:00,476,
HBpb003-1,001,2021/10/01 19:58:00,476,
HBpb003-1,001,2021/10/01 20:58:00,476,
HBpb003-1,001,2021/10/01 21:58:00,476,
HBpb003-1,001,2021/10/01 22:58:00,476,
HBpb003-1,001,2021/10/01 23:58:00,475,
HBpb003-1,001,2021/10/02 00:58:00,476,
HBpb003-1,001,2021/10/02 01:58:00,476,
HBpb003-1,001,2021/10/02 02:58:00,476,
HBpb003-1,001,2021/10/02 03:58:00,475,
HBpb003-1,001,2021/10/02 04:58:00,476,
HBpb003-1,001,2021/10/02 05:58:00,475,
HBpb003-1,001,2021/10/02 06:58:00,475,
HBpb003-1,001,2021/10/02 07:58:00,475,
HBpb003-1,001,2021/10/02 08:58:00,475,
HBpb003-1,001,2021/10/02 09:58:00,475,
HBpb003-1,001,2021/10/02 10:58:00,475,
HBpb003-1,001,2021/10/02 11:58:00,475,
HBpb003-1,001,2021/10/02 12:58:00,475,
HBpb003-1,001,2021/10/02 13:58:00,475,
HBpb003-1,001,2021/10/02 14:58:00,476,
HBpb003-1,001,2021/10/02 15:58:00,475,
HBpb003-1,001,2021/10/02 16:58:00,476,
HBpb003-1,001,2021/10/02 17:58:00,475,
HBpb003-1,001,2021/10/02 18:58:00,475,
HBpb003-1,001,2021/10/02 19:58:00,476,
HBpb003-1,001,2021/10/02 20:58:00,476,
HBpb003-1,001,2021/10/02 21:58:00,476,
HBpb003-1,001,2021/10/02 22:58:00,476,
HBpb003-1,001,2021/10/02 23:58:00,476,
HBpb003-1,001,2021/10/03 00:58:00,475,
HBpb003-1,001,2021/10/03 01:58:00,475,
HBpb003-1,001,2021/10/03 02:58:00,475,
HBpb003-1,001,2021/10/03 03:58:00,475,
HBpb003-1,001,2021/10/03 04:58:00,475,
HBpb003-1,001,2021/10/03 05:58:00,475,
HBpb003-1,001,2021/10/03 06:58:00,475,
HBpb003-1,001,2021/10/03 07:58:00,475,
HBpb003-1,001,2021/10/03 08:58:00,475,
HBpb003-1,001,2021/10/03 09:58:00,476,
HBpb003-1,001,2021/10/03 10:58:00,476,
HBpb003-1,001,2021/10/03 11:58:00,477,
HBpb003-1,001,2021/10/03 12:58:00,477,
HBpb003-1,001,2021/10/03 13:58:00,477,
HBpb003-1,001,2021/10/03 14:58:00,477,
HBpb003-1,001,2021/10/03 15:58:00,477,
HBpb003-1,001,2021/10/03 16:58:00,477,
HBpb003-1,001,2021/10/03 17:58:00,476,
HBpb003-1,001,2021/10/03 18:58:00,476,
HBpb003-1,001,2021/10/03 19:58:00,475,
HBpb003-1,001,2021/10/03 20:58:00,475,
HBpb003-1,001,2021/10/03 21:58:00,475,
HBpb003-1,001,2021/10/03 22:58:00,475,
HBpb003-1,001,2021/10/03 23:58:00,475,
HBpb003-1,001,2021/10/04 00:58:00,475,
HBpb003-1,001,2021/10/04 01:58:00,475,
HBpb003-1,001,2021/10/04 02:58:00,475,
HBpb003-1,001,2021/10/04 03:58:00,475,
HBpb003-1,001,2021/10/04 04:58:00,475,
HBpb003-1,001,2021/10/04 05:58:00,475,
HBpb003-1,001,2021/10/04 06:58:00,475,
HBpb003-1,001,2021/10/04 07:58:00,475,
HBpb003-1,001,2021/10/04 08:58:00,475,
HBpb003-1,001,2021/10/04 09:58:00,475,
HBpb003-1,001,2021/10/04 10:58:00,475,
HBpb003-1,001,2021/10/04 11:58:00,475,
HBpb003-1,001,2021/10/04 12:58:00,475,
HBpb003-1,001,2021/10/04 13:58:00,474,
HBpb003-1,001,2021/10/04 14:58:00,475,
HBpb003-1,001,2021/10/04 15:58:00,475,
HBpb003-1,001,2021/10/04 16:58:00,475,
HBpb003-1,001,2021/10/04 17:58:00,475,
HBpb003-1,001,2021/10/04 18:58:00,475,
HBpb003-1,001,2021/10/04 19:58:00,474,
HBpb003-1,001,2021/10/04 20:58:00,475,
HBpb003-1,001,2021/10/04 21:58:00,475,
HBpb003-1,001,2021/10/04 22:58:00,474,
