Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,25-10-2023,,,,,,,,
Gegevens beschikbaar:,14-06-1950,tot:,28-08-2000,,,,,,,,
Datum: ,25-10-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39G0027,001,39GB0027,169990,433280,817,04-01-1946,04-01-1946,14-10-1969,817,0,67,-1483
B39G0027,001,39GB0027,169990,433280,817,04-01-1946,14-10-1969,14-09-2000,831,14,67,-1483


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39G0027,001,28-08-1992,265,251,566,,,,,,
B39G0027,001,12-10-1992,299,285,532,,,,,,
B39G0027,001,14-12-1992,120,106,711,,,,,,
B39G0027,001,28-04-1993,175,161,656,,,,,,
B39G0027,001,27-08-1993,243,229,588,,,,,,
B39G0027,001,14-10-1993,179,165,652,,,,,,
B39G0027,001,14-12-1993,211,197,620,,,,,,
B39G0027,001,28-04-1994,158,144,673,,,,,,
B39G0027,001,29-08-1994,256,242,575,,,,,,
B39G0027,001,14-10-1994,239,225,592,,,,,,
B39G0027,001,14-12-1994,217,203,614,,,,,,
B39G0027,001,27-04-1995,151,137,680,,,,,,
B39G0027,001,11-09-1995,238,224,593,,,,,,
B39G0027,001,16-10-1995,241,227,590,,,,,,
B39G0027,001,14-12-1995,279,265,552,,,,,,
B39G0027,001,26-04-1996,286,272,545,,,,,,
B39G0027,001,27-08-1996,254,240,577,,,,,,
B39G0027,001,14-10-1996,283,269,548,,,,,,
B39G0027,001,13-12-1996,166,152,665,,,,,,
B39G0027,001,28-04-1997,245,231,586,,,,,,
B39G0027,001,28-08-1997,241,227,590,,,,,,
B39G0027,001,14-10-1997,302,288,529,,,,,,
B39G0027,001,15-12-1997,382,368,449,,,,,,
B39G0027,001,27-04-1998,185,171,646,,,,,,
B39G0027,001,26-08-1998,296,282,535,,,,,,
B39G0027,001,13-10-1998,221,207,610,,,,,,
B39G0027,001,14-12-1998,181,167,650,,,,,,
B39G0027,001,28-04-1999,149,135,682,,,,,,
B39G0027,001,30-08-1999,234,220,597,,,,,,
B39G0027,001,13-10-1999,257,243,574,,,,,,
B39G0027,001,13-12-1999,248,234,583,,,,,,
B39G0027,001,27-04-2000,199,185,632,,,,,,
B39G0027,001,28-08-2000,222,208,609,,,,,,
