Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2023/11/05 19:10:29
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
HBpb001-1,001,HBpb001-1,169904.96,433163.6,714,,778,475,383,283,2021/09/23,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
HBpb001-1,001,2021/10/09 03:56:00,488,
HBpb001-1,001,2021/10/09 04:56:00,488,
HBpb001-1,001,2021/10/09 05:56:00,488,
HBpb001-1,001,2021/10/09 06:56:00,488,
HBpb001-1,001,2021/10/09 07:56:00,488,
HBpb001-1,001,2021/10/09 08:56:00,488,
HBpb001-1,001,2021/10/09 09:56:00,488,
HBpb001-1,001,2021/10/09 10:56:00,487,
HBpb001-1,001,2021/10/09 11:56:00,487,
HBpb001-1,001,2021/10/09 12:56:00,487,
HBpb001-1,001,2021/10/09 13:56:00,487,
HBpb001-1,001,2021/10/09 14:56:00,487,
HBpb001-1,001,2021/10/09 15:56:00,487,
HBpb001-1,001,2021/10/09 16:56:00,487,
HBpb001-1,001,2021/10/09 17:56:00,487,
HBpb001-1,001,2021/10/09 18:56:00,486,
HBpb001-1,001,2021/10/09 19:56:00,486,
HBpb001-1,001,2021/10/09 20:56:00,486,
HBpb001-1,001,2021/10/09 21:56:00,486,
HBpb001-1,001,2021/10/09 22:56:00,486,
HBpb001-1,001,2021/10/09 23:56:00,485,
HBpb001-1,001,2021/10/10 00:56:00,486,
HBpb001-1,001,2021/10/10 01:56:00,485,
HBpb001-1,001,2021/10/10 02:56:00,486,
HBpb001-1,001,2021/10/10 03:56:00,486,
HBpb001-1,001,2021/10/10 04:56:00,486,
HBpb001-1,001,2021/10/10 05:56:00,486,
HBpb001-1,001,2021/10/10 06:56:00,486,
HBpb001-1,001,2021/10/10 07:56:00,486,
HBpb001-1,001,2021/10/10 08:56:00,486,
HBpb001-1,001,2021/10/10 09:56:00,485,
HBpb001-1,001,2021/10/10 10:56:00,485,
HBpb001-1,001,2021/10/10 11:56:00,485,
HBpb001-1,001,2021/10/10 12:56:00,485,
HBpb001-1,001,2021/10/10 13:56:00,485,
HBpb001-1,001,2021/10/10 14:56:00,485,
HBpb001-1,001,2021/10/10 15:56:00,484,
HBpb001-1,001,2021/10/10 16:56:00,484,
HBpb001-1,001,2021/10/10 17:56:00,484,
HBpb001-1,001,2021/10/10 18:56:00,484,
HBpb001-1,001,2021/10/10 19:56:00,484,
HBpb001-1,001,2021/10/10 20:56:00,484,
HBpb001-1,001,2021/10/10 21:56:00,483,
HBpb001-1,001,2021/10/10 22:56:00,483,
HBpb001-1,001,2021/10/10 23:56:00,483,
HBpb001-1,001,2021/10/11 00:56:00,483,
HBpb001-1,001,2021/10/11 01:56:00,483,
HBpb001-1,001,2021/10/11 02:56:00,483,
HBpb001-1,001,2021/10/11 03:56:00,483,
HBpb001-1,001,2021/10/11 04:56:00,483,
HBpb001-1,001,2021/10/11 05:56:00,483,
HBpb001-1,001,2021/10/11 06:56:00,483,
HBpb001-1,001,2021/10/11 07:56:00,483,
HBpb001-1,001,2021/10/11 08:56:00,483,
HBpb001-1,001,2021/10/11 09:56:00,483,
HBpb001-1,001,2021/10/11 10:56:00,482,
HBpb001-1,001,2021/10/11 11:56:00,482,
HBpb001-1,001,2021/10/11 12:56:00,482,
HBpb001-1,001,2021/10/11 13:56:00,482,
HBpb001-1,001,2021/10/11 14:56:00,482,
HBpb001-1,001,2021/10/11 15:56:00,482,
HBpb001-1,001,2021/10/11 16:56:00,482,
HBpb001-1,001,2021/10/11 17:56:00,482,
HBpb001-1,001,2021/10/11 18:56:00,481,
HBpb001-1,001,2021/10/11 19:56:00,481,
HBpb001-1,001,2021/10/11 20:56:00,481,
HBpb001-1,001,2021/10/11 21:56:00,481,
HBpb001-1,001,2021/10/11 22:56:00,481,
HBpb001-1,001,2021/10/11 23:56:00,481,
HBpb001-1,001,2021/10/12 00:56:00,481,
HBpb001-1,001,2021/10/12 01:56:00,481,
HBpb001-1,001,2021/10/12 02:56:00,481,
HBpb001-1,001,2021/10/12 03:56:00,481,
HBpb001-1,001,2021/10/12 04:56:00,481,
HBpb001-1,001,2021/10/12 05:56:00,481,
HBpb001-1,001,2021/10/12 06:56:00,481,
HBpb001-1,001,2021/10/12 07:56:00,481,
